01,玉石器、宝石
02,陶器
03,瓷器
04,铜器
05,金银器
06,铁器、其他金属器
07,漆器
08,雕塑、造像
09,石器、石刻、砖瓦
10,书法、绘画
11,文具
12,甲骨
13,玺印符牌
14,钱币
15,牙骨角器
16,竹木雕
17,家具
18,珐琅器
19,织绣
20,古籍图书
21,碑帖拓本
22,武器
23,邮品
24,文件、宣传品
25,档案文书
26,名人遗物
27,玻璃器
28,乐器、法器
29,皮革
30,音像制品
31,票据
32,交通、运输工具
33,度量衡器
34,标本、化石
35,其他
